date	Tx_Ref	Tn_Ref	Tx_Can	Tn_Can 
01/01/1998	NA	NA	5.8	3
02/01/1998	NA	NA	5	-4.2
03/01/1998	NA	NA	4.5	0.5
04/01/1998	NA	NA	6	-0.2
05/01/1998	NA	NA	9	-0.5
06/01/1998	NA	NA	3.5	0.5
07/01/1998	NA	NA	4	0
08/01/1998	NA	NA	8.8	3
09/01/1998	NA	NA	5.8	1.5
10/01/1998	NA	NA	2.5	0
11/01/1998	NA	NA	1.8	-1
12/01/1998	NA	NA	1.5	-1.5
13/01/1998	NA	NA	2.3	1
14/01/1998	NA	NA	3	0.5
15/01/1998	NA	NA	6.5	1.5
16/01/1998	NA	NA	6	1.8
17/01/1998	NA	NA	12.5	0
18/01/1998	NA	NA	5	-3
19/01/1998	NA	NA	5.8	-0.6
20/01/1998	NA	NA	8.5	-3
21/01/1998	NA	NA	9.8	-3
22/01/1998	NA	NA	7	-4
23/01/1998	NA	NA	5.3	-1
24/01/1998	NA	NA	6	-4.5
25/01/1998	NA	NA	2.5	-2
26/01/1998	NA	NA	5	-4
27/01/1998	NA	NA	4	-5.5
28/01/1998	NA	NA	4	-6.8
29/01/1998	NA	NA	5.2	-6.8
30/01/1998	NA	NA	4	-4
31/01/1998	NA	NA	4.5	-3
01/02/1998	NA	NA	5	-3
02/02/1998	NA	NA	3	-6
03/02/1998	NA	NA	3.5	-2
04/02/1998	NA	NA	6.5	-2
05/02/1998	NA	NA	7.2	-5.3
06/02/1998	NA	NA	9.3	-6
07/02/1998	NA	NA	7.8	-5.6
08/02/1998	NA	NA	9	-3.5
09/02/1998	NA	NA	10.2	-4.2
10/02/1998	NA	NA	11.8	-3.5
11/02/1998	NA	NA	14.8	-3
12/02/1998	NA	NA	16.5	-2
13/02/1998	NA	NA	18.7	-1
14/02/1998	NA	NA	18.5	-0.5
15/02/1998	NA	NA	16.8	-0.5
16/02/1998	NA	NA	18	-0.5
17/02/1998	NA	NA	21	2
18/02/1998	NA	NA	14	-0.2
19/02/1998	NA	NA	15	-1
20/02/1998	NA	NA	14	0
21/02/1998	NA	NA	14.8	0.5
